"","Sample","site","Type","copies_mL"
"1","BO_APR","BO","Monthly",26688.5722060569
"2","BO_AUG","BO","Monthly",7983.12042159419
"3","BO_DEC","BO","Monthly",22042.477967247
"4","BO_FEB","BO","Monthly",10282.558050018
"5","BO_JUN","BO","Monthly",36697.0018723545
"6","BO_MAR","BO","Monthly",4814.17874907429
"7","BO_MAY_11","BO","Monthly",28573.716857517
"8","BO_MAY_20","BO","Monthly",5518.75011425641
"9","BO_MAY_24","BO","Monthly",8310.40576257361
"10","BO_NOV","BO","Monthly",40813.6499505616
"11","BO_OCT","BO","Monthly",88401.3351298823
"12","BO_SEP","BO","Monthly",10999.7212778067
"13","C2_APR","C2","Monthly",456.885029425443
"14","C2_AUG","C2","Monthly",19801.3788108647
"15","C2_DEC","C2","Monthly",26757.4491570034
"16","C2_FEB","C2","Monthly",162.744294929532
"17","C2_JUN","C2","Monthly",6869.41592195122
"18","C2_MAR","C2","Monthly",2077.58356792572
"19","C2_MAY_11","C2","Monthly",1410.15776554063
"20","C2_MAY_20","C2","Monthly",3244.19214456707
"21","C2_MAY_24","C2","Monthly",2505.55717407727
"22","C2_NOV","C2","Monthly",2733.22408044376
"23","C2_OCT","C2","Monthly",16900.5945485418
"24","C2_SEP","C2","Monthly",9953.42209671339
"25","RD6_DEC","RD","Monthly",520.058085008702
"26","RD6_MAY_20","RD","Monthly",9961.75012883591
"27","RD6_MAY_24","RD","Monthly",32627.0016168752
"28","RD6_NOV","RD","Monthly",30542.1647379755
"29","RD6APR","RD","Monthly",54655.9578286175
"30","RD6AUG","RD","Monthly",37654.6697803734
"31","RD6FEB","RD","Monthly",10624.809779421
"32","RD6JUN","RD","Monthly",22871.1238143954
"33","RD6MAR","RD","Monthly",840.164208848921
"34","RD6MAY","RD","Monthly",1960.56218370491
"35","RD6OCT","RD","Monthly",33611.763666172
"36","RD6SEP","RD","Monthly",41525.2850763968
"37","BO11","BO","Daily",45874.7805916793
"38","BO12","BO","Daily",18960.3961616434
"39","BO13","BO","Daily",30244.6093215227
"40","BO14","BO","Daily",85816.1827890985
"41","BO15","BO","Daily",34585.6586619774
"42","BO16REDO","BO","Daily",32447.2992140839
"43","BO17","BO","Daily",69064.509251122
"44","BO18","BO","Daily",50214.0843588211
"45","BO19","BO","Daily",71334.2484223254
"46","BO7","BO","Daily",25462.3160806161
"47","BO8","BO","Daily",33586.3457218494
"48","BO9","BO","Daily",29092.8251170204
"49","C211","C2","Daily",6607.17012336502
"50","C212","C2","Daily",14343.0540743665
"51","C213","C2","Daily",16787.4678115069
"52","C214","C2","Daily",10762.0718976435
"53","C215","C2","Daily",9155.12768381903
"54","C216","C2","Daily",20656.1630844893
"55","C217","C2","Daily",8376.50708050311
"56","C218","C2","Daily",28784.5619007147
"57","C219 REDO","C2","Daily",28577.6044014392
"58","C27 REDO","C2","Daily",21657.5647756801
"59","C28","C2","Daily",14290.4100693708
"60","C29","C2","Daily",4353.79836339049
"61","RD611","RD","Daily",695.390637653543
"62","RD612","RD","Daily",47081.0826200257
"63","RD613","RD","Daily",51604.4255464919
"64","RD614","RD","Daily",97906.3926285433
"65","RD615","RD","Daily",110322.34486416
"66","RD616","RD","Daily",71864.4639987752
"67","RD617","RD","Daily",69089.2704430611
"68","RD618","RD","Daily",149149.612298964
"69","RD619","RD","Daily",107384.117957655
"70","RD67","RD","Daily",441.833666127579
"71","RD68","RD","Daily",2669.76384292788
"72","RD69","RD","Daily",3243.35262062961
